assay	trim	split_seed	model	scope	pearson	spearman	n
pGL4	171	split_seed3	kmer_elasticnet_mean_ens	overall_non_excluded	0.648643395543804	0.4330862089087032	242.0
pGL4	171	split_seed3	kmer_elasticnet_mean_ens	by_prefix			
pGL4	171	split_seed3	kmer_mean_ens	overall	0.6531921979930665	0.4172320864790863	242.0
pGL4	171	split_seed3	kmer_mean_ens	overall_non_excluded	0.6531921979930665	0.4172320864790863	242.0
pGL4	171	split_seed3	kmer_mean_ens	by_prefix			
pGL4	171	split_seed3	onehot_ridge_mean_ens	overall	0.22434982351694197	0.1326313681571887	242.0
pGL4	171	split_seed3	onehot_ridge_mean_ens	overall_non_excluded	0.22434982351694197	0.1326313681571887	242.0
pGL4	171	split_seed3	onehot_ridge_mean_ens	by_prefix			
pGL4	171	split_seed4	cnn_mean_ens	overall	0.7342280694743635	0.5542173520422268	242.0
pGL4	171	split_seed4	cnn_mean_ens	overall_non_excluded	0.7342280694743635	0.5542173520422268	242.0
pGL4	171	split_seed4	cnn_mean_ens	by_prefix			
pGL4	171	split_seed4	kmer_elasticnet_mean_ens	overall	0.6288240968590129	0.3988968852759576	242.0
pGL4	171	split_seed4	kmer_elasticnet_mean_ens	overall_non_excluded	0.6288240968590129	0.3988968852759576	242.0
pGL4	171	split_seed4	kmer_elasticnet_mean_ens	by_prefix			
pGL4	171	split_seed4	kmer_mean_ens	overall	0.6359398916456159	0.394335148573048	242.0
pGL4	171	split_seed4	kmer_mean_ens	overall_non_excluded	0.6359398916456159	0.394335148573048	242.0
pGL4	171	split_seed4	kmer_mean_ens	by_prefix			
pGL4	171	split_seed4	onehot_ridge_mean_ens	overall	0.23189357305499197	0.1423973101206714	242.0
pGL4	171	split_seed4	onehot_ridge_mean_ens	overall_non_excluded	0.23189357305499197	0.1423973101206714	242.0
pGL4	171	split_seed4	onehot_ridge_mean_ens	by_prefix			
pGL4	185	split_seed0	cnn_mean_ens	overall	0.697860228318995	0.4991124186461475	242.0
pGL4	185	split_seed0	cnn_mean_ens	overall_non_excluded	0.697860228318995	0.4991124186461475	242.0
pGL4	185	split_seed0	cnn_mean_ens	by_prefix			
